[KVCache:finish remote send][RANK 3] remote_send time =0.0014119148254394531,token_num=131
[KVCache:finish local move][RANK 3] local_shared time =0.002856016159057617,token_num=131
[KVCache:finish remote send][RANK 3] remote_send time =0.005171537399291992,token_num=131
[KVCache:finish remote send][RANK 3] remote_send time =0.0022139549255371094,token_num=131
[KVCache:finish remote send][RANK 3] remote_send time =0.002055644989013672,token_num=8
[KVCache:finish remote send][RANK 3] remote_send time =0.0017020702362060547,token_num=8
[KVCache:finish remote send][RANK 3] remote_send time =0.0021364688873291016,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0024750232696533203,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0035707950592041016,token_num=154
[KVCache:finish remote send][RANK 3] remote_send time =0.0026483535766601562,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0021753311157226562,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0037941932678222656,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.002115964889526367,token_num=77
[KVCache:finish local move][RANK 3] local_shared time =0.004641294479370117,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0019519329071044922,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0018756389617919922,token_num=177
[KVCache:finish remote send][RANK 3] remote_send time =0.0031366348266601562,token_num=10
[KVCache:finish local move][RANK 3] local_shared time =0.0034406185150146484,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.001711130142211914,token_num=100
[KVCache:finish remote send][RANK 3] remote_send time =0.0017464160919189453,token_num=100
[KVCache:finish local move][RANK 3] local_shared time =0.003569364547729492,token_num=21
[KVCache:finish remote send][RANK 3] remote_send time =0.00226593017578125,token_num=5
[KVCache:finish local move][RANK 3] local_shared time =0.002610445022583008,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0018808841705322266,token_num=28
[KVCache:finish remote send][RANK 3] remote_send time =0.003328084945678711,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.002582073211669922,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.0012309551239013672,token_num=22
[KVCache:finish local move][RANK 3] local_shared time =0.004317283630371094,token_num=22
[KVCache:finish remote send][RANK 3] remote_send time =0.002254009246826172,token_num=22
[KVCache:finish remote send][RANK 3] remote_send time =0.0025625228881835938,token_num=22
[KVCache:finish remote send][RANK 3] remote_send time =0.003236532211303711,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.0012421607971191406,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.002408266067504883,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0012178421020507812,token_num=10
[KVCache:finish local move][RANK 3] local_shared time =0.003389596939086914,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.00619053840637207,token_num=16
[KVCache:finish remote send][RANK 3] remote_send time =0.0013091564178466797,token_num=16
[KVCache:finish remote send][RANK 3] remote_send time =0.004685640335083008,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0014233589172363281,token_num=11
[KVCache:finish local move][RANK 3] local_shared time =0.002273082733154297,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0017037391662597656,token_num=5
[KVCache:finish remote send][RANK 3] remote_send time =0.002395153045654297,token_num=5
[KVCache:finish remote send][RANK 3] remote_send time =0.0012581348419189453,token_num=74
[KVCache:finish local move][RANK 3] local_shared time =0.002130746841430664,token_num=74
[KVCache:finish remote send][RANK 3] remote_send time =0.0008513927459716797,token_num=74
[KVCache:finish remote send][RANK 3] remote_send time =0.0041620731353759766,token_num=16
[KVCache:finish remote send][RANK 3] remote_send time =0.002616405487060547,token_num=23
[KVCache:finish remote send][RANK 3] remote_send time =0.0047605037689208984,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.002086639404296875,token_num=7
[KVCache:finish local move][RANK 3] local_shared time =0.00503230094909668,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.001146554946899414,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.0024929046630859375,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0032453536987304688,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0034754276275634766,token_num=13
[KVCache:finish local move][RANK 3] local_shared time =0.0021696090698242188,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.004925966262817383,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0014843940734863281,token_num=187
[KVCache:finish remote send][RANK 3] remote_send time =0.007217884063720703,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.0035178661346435547,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.002065420150756836,token_num=4
[KVCache:finish remote send][RANK 3] remote_send time =0.0019130706787109375,token_num=4
[KVCache:finish local move][RANK 3] local_shared time =0.0022635459899902344,token_num=4
[KVCache:finish remote send][RANK 3] remote_send time =0.0037679672241210938,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.0015289783477783203,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0015482902526855469,token_num=32
[KVCache:finish remote send][RANK 3] remote_send time =0.0027189254760742188,token_num=32
[KVCache:finish local move][RANK 3] local_shared time =0.007007598876953125,token_num=76
[KVCache:finish remote send][RANK 3] remote_send time =0.002859354019165039,token_num=76
[KVCache:finish remote send][RANK 3] remote_send time =0.0010721683502197266,token_num=12
[KVCache:finish remote send][RANK 3] remote_send time =0.001399993896484375,token_num=68
[KVCache:finish remote send][RANK 3] remote_send time =0.0021190643310546875,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.0022552013397216797,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.0029861927032470703,token_num=10
