shared once time: 0.2471475601196289s,token_num:5800, throughput: 0.6728676581694983 GB/s
shared once time: 0.367933988571167s,token_num:6260, throughput: 0.48782315734683235 GB/s
shared once time: 0.38659071922302246s,token_num:6774, throughput: 0.5024024590925396 GB/s
shared once time: 0.35642313957214355s,token_num:6622, throughput: 0.5326982536204534 GB/s
shared once time: 0.38803791999816895s,token_num:6709, throughput: 0.4957259022543665 GB/s
shared once time: 0.26605725288391113s,token_num:6577, throughput: 0.7087788134168299 GB/s
shared once time: 0.32352352142333984s,token_num:5811, throughput: 0.5149949878975943 GB/s
shared once time: 0.451141357421875s,token_num:6948, throughput: 0.44157568957640536 GB/s
shared once time: 0.33746886253356934s,token_num:5744, throughput: 0.48802122590974584 GB/s
shared once time: 0.31182432174682617s,token_num:5926, throughput: 0.5448910176350905 GB/s
shared once time: 0.1826314926147461s,token_num:3324, throughput: 0.5218471723332168 GB/s
shared once time: 0.14148497581481934s,token_num:3118, throughput: 0.6318642349489393 GB/s
shared once time: 0.23769307136535645s,token_num:3232, throughput: 0.38986371570570844 GB/s
shared once time: 0.2238314151763916s,token_num:3144, throughput: 0.40273510279582925 GB/s
shared once time: 0.18384885787963867s,token_num:2558, throughput: 0.3989308220125895 GB/s
shared once time: 0.1957857608795166s,token_num:2905, throughput: 0.42542501367735647 GB/s
shared once time: 0.1854381561279297s,token_num:2389, throughput: 0.36938141227388577 GB/s
shared once time: 0.23435068130493164s,token_num:3061, throughput: 0.3745028241919307 GB/s
shared once time: 0.2330615520477295s,token_num:3012, throughput: 0.3705461636259679 GB/s
shared once time: 0.2490706443786621s,token_num:3505, throughput: 0.40348135064530893 GB/s
shared once time: 0.1924605369567871s,token_num:2900, throughput: 0.43203038563001245 GB/s
shared once time: 0.22103166580200195s,token_num:2848, throughput: 0.36943962623504056 GB/s
shared once time: 0.18897771835327148s,token_num:3347, throughput: 0.5078121634456632 GB/s
shared once time: 0.2276918888092041s,token_num:3263, throughput: 0.41089182618356895 GB/s
shared once time: 0.18596982955932617s,token_num:3053, throughput: 0.4706979417436918 GB/s
shared once time: 0.23201990127563477s,token_num:3451, throughput: 0.42645941773095125 GB/s
shared once time: 0.2022097110748291s,token_num:2795, throughput: 0.396312519186303 GB/s
shared once time: 0.23078012466430664s,token_num:2730, throughput: 0.33917374866600136 GB/s
shared once time: 0.22302770614624023s,token_num:3732, throughput: 0.4797785254978011 GB/s
shared once time: 0.20805621147155762s,token_num:2842, throughput: 0.39165292602254054 GB/s
shared once time: 0.19684767723083496s,token_num:3148, throughput: 0.45852436396369844 GB/s
shared once time: 0.23429560661315918s,token_num:3665, throughput: 0.4485055503985623 GB/s
shared once time: 0.2561812400817871s,token_num:3587, throughput: 0.4014597788939025 GB/s
shared once time: 0.2270665168762207s,token_num:3652, throughput: 0.4611430405526499 GB/s
shared once time: 0.17545080184936523s,token_num:2762, throughput: 0.4513633632064618 GB/s
shared once time: 0.2120671272277832s,token_num:3257, throughput: 0.44035445389748995 GB/s
shared once time: 0.2440049648284912s,token_num:3438, throughput: 0.4039849601801626 GB/s
shared once time: 0.2445971965789795s,token_num:3229, throughput: 0.3785075597549037 GB/s
shared once time: 0.2295989990234375s,token_num:3117, throughput: 0.3892465750291752 GB/s
shared once time: 0.20416998863220215s,token_num:3450, throughput: 0.48449040264284154 GB/s
shared once time: 0.18030881881713867s,token_num:3521, throughput: 0.5598955872612268 GB/s
shared once time: 0.2046365737915039s,token_num:3269, throughput: 0.4580254949708869 GB/s
shared once time: 0.22518086433410645s,token_num:3834, throughput: 0.4881784619002813 GB/s
shared once time: 0.17470264434814453s,token_num:3267, throughput: 0.536176337510571 GB/s
shared once time: 0.19546127319335938s,token_num:3180, throughput: 0.46647071570951815 GB/s
shared once time: 0.19412827491760254s,token_num:2872, throughput: 0.42418336038349713 GB/s
shared once time: 0.18190765380859375s,token_num:2839, throughput: 0.4474787415248081 GB/s
shared once time: 0.21161198616027832s,token_num:2899, throughput: 0.39279499005809376 GB/s
shared once time: 0.19286823272705078s,token_num:2982, throughput: 0.4433073440404278 GB/s
shared once time: 0.3163330554962158s,token_num:2629, throughput: 0.23828900170346481 GB/s
shared once time: 0.14125800132751465s,token_num:3039, throughput: 0.6168444065548855 GB/s
shared once time: 0.1961524486541748s,token_num:3281, throughput: 0.47959040351239485 GB/s
shared once time: 0.18867063522338867s,token_num:3126, throughput: 0.4750536398728843 GB/s
shared once time: 0.22864556312561035s,token_num:2922, throughput: 0.3664168368488054 GB/s
shared once time: 0.2255079746246338s,token_num:3668, throughput: 0.4663644209259449 GB/s
shared once time: 0.2145836353302002s,token_num:3353, throughput: 0.44801746345691523 GB/s
shared once time: 0.21328496932983398s,token_num:3474, throughput: 0.467011474427735 GB/s
shared once time: 0.23360395431518555s,token_num:2975, throughput: 0.36514450386790853 GB/s
shared once time: 0.18581247329711914s,token_num:2976, throughput: 0.45921498425758767 GB/s
