shared once time: 0.5961802005767822s,token_num:9014, throughput: 0.4335088749172814 GB/s
shared once time: 0.4760243892669678s,token_num:7047, throughput: 0.4244563693703598 GB/s
shared once time: 0.4380970001220703s,token_num:8145, throughput: 0.5330633168794326 GB/s
shared once time: 0.494814395904541s,token_num:8354, throughput: 0.48407218945628466 GB/s
shared once time: 0.5977778434753418s,token_num:9482, throughput: 0.45479755893832235 GB/s
shared once time: 0.5487630367279053s,token_num:7202, throughput: 0.37629309953393847 GB/s
shared once time: 0.4434518814086914s,token_num:7544, throughput: 0.4877678437463962 GB/s
shared once time: 0.4815843105316162s,token_num:8193, throughput: 0.48778519329395403 GB/s
shared once time: 0.4156019687652588s,token_num:7681, throughput: 0.529905170214414 GB/s
shared once time: 0.48430967330932617s,token_num:7572, throughput: 0.44827596053679586 GB/s
shared once time: 0.39020323753356934s,token_num:4244, throughput: 0.31184766371788875 GB/s
shared once time: 0.2537846565246582s,token_num:4525, throughput: 0.5112239714436563 GB/s
shared once time: 0.3213043212890625s,token_num:3899, throughput: 0.34793222684181035 GB/s
shared once time: 0.4698221683502197s,token_num:4933, throughput: 0.30104789754102684 GB/s
shared once time: 0.27390384674072266s,token_num:4021, throughput: 0.42091454125919453 GB/s
shared once time: 0.28826212882995605s,token_num:4199, throughput: 0.41765364215088924 GB/s
shared once time: 0.2449502944946289s,token_num:3529, throughput: 0.4130776336021865 GB/s
shared once time: 0.34946656227111816s,token_num:5029, throughput: 0.4126045337869419 GB/s
shared once time: 0.28914713859558105s,token_num:4147, throughput: 0.4112189543964491 GB/s
shared once time: 0.302976131439209s,token_num:4275, throughput: 0.4045625621323697 GB/s
shared once time: 0.38927650451660156s,token_num:3938, throughput: 0.29005176189662557 GB/s
shared once time: 0.3084280490875244s,token_num:4024, throughput: 0.37407793597676015 GB/s
shared once time: 0.21123361587524414s,token_num:3213, throughput: 0.43611967545169744 GB/s
shared once time: 0.254488468170166s,token_num:3913, throughput: 0.4408590173326863 GB/s
shared once time: 0.3205265998840332s,token_num:3770, throughput: 0.3372370344274338 GB/s
shared once time: 0.2966806888580322s,token_num:3643, throughput: 0.3520690760226139 GB/s
shared once time: 0.24175453186035156s,token_num:3778, throughput: 0.4480694329344453 GB/s
shared once time: 0.3008995056152344s,token_num:3751, throughput: 0.35742389067772157 GB/s
shared once time: 0.29930734634399414s,token_num:4510, throughput: 0.43203323132397525 GB/s
shared once time: 0.23609662055969238s,token_num:3667, throughput: 0.445327102737658 GB/s
shared once time: 0.34896326065063477s,token_num:3517, throughput: 0.2889685974735191 GB/s
shared once time: 0.3075852394104004s,token_num:3995, throughput: 0.37239966462489127 GB/s
shared once time: 0.2530786991119385s,token_num:3707, throughput: 0.419976491000487 GB/s
shared once time: 0.33377814292907715s,token_num:4756, throughput: 0.4085469192300447 GB/s
shared once time: 0.2793421745300293s,token_num:4160, throughput: 0.42698715366081563 GB/s
shared once time: 0.2780144214630127s,token_num:3659, throughput: 0.37735757536577086 GB/s
shared once time: 0.25294065475463867s,token_num:3844, throughput: 0.435735283862978 GB/s
shared once time: 0.26805567741394043s,token_num:3950, throughput: 0.4225032690693912 GB/s
shared once time: 0.30147624015808105s,token_num:3321, throughput: 0.31584483059119656 GB/s
shared once time: 0.31530237197875977s,token_num:3973, throughput: 0.36128448791902446 GB/s
shared once time: 0.3878157138824463s,token_num:3769, throughput: 0.2786497919802092 GB/s
shared once time: 0.2766709327697754s,token_num:3643, throughput: 0.3775318749762453 GB/s
shared once time: 0.23751044273376465s,token_num:3814, throughput: 0.46042189447047 GB/s
shared once time: 0.21270084381103516s,token_num:3482, throughput: 0.4693723927522116 GB/s
shared once time: 0.2548084259033203s,token_num:4069, throughput: 0.45785914491016744 GB/s
shared once time: 0.27633166313171387s,token_num:4001, throughput: 0.4151412498296301 GB/s
shared once time: 0.2676420211791992s,token_num:3974, throughput: 0.4257273484110703 GB/s
shared once time: 0.2805492877960205s,token_num:3845, throughput: 0.39295711946399664 GB/s
shared once time: 0.323077917098999s,token_num:5019, throughput: 0.4454181495663909 GB/s
shared once time: 0.26633310317993164s,token_num:4460, throughput: 0.48013978913318806 GB/s
shared once time: 0.452817440032959s,token_num:3552, throughput: 0.22490949993575163 GB/s
shared once time: 0.27193379402160645s,token_num:4101, throughput: 0.43239889482311783 GB/s
