shared once time: 0.5154495239257812s,token_num:7506, throughput: 0.4175230008185788 GB/s
shared once time: 0.6406729221343994s,token_num:7962, throughput: 0.35632294750254856 GB/s
shared once time: 0.4660968780517578s,token_num:7938, throughput: 0.48830693084952675 GB/s
shared once time: 0.45255160331726074s,token_num:7630, throughput: 0.4834086508508808 GB/s
shared once time: 0.4555385112762451s,token_num:7609, throughput: 0.47891724321788776 GB/s
shared once time: 0.42032480239868164s,token_num:7862, throughput: 0.5362977933102979 GB/s
shared once time: 0.48943543434143066s,token_num:7241, throughput: 0.42419068468011306 GB/s
shared once time: 0.466541051864624s,token_num:7899, throughput: 0.48544522951373126 GB/s
shared once time: 0.5054192543029785s,token_num:8043, throughput: 0.45627247881173766 GB/s
shared once time: 0.5476384162902832s,token_num:8327, throughput: 0.43596602593607386 GB/s
shared once time: 0.4529266357421875s,token_num:4531, throughput: 0.2868297462504464 GB/s
shared once time: 0.19087481498718262s,token_num:3510, throughput: 0.5272498627268242 GB/s
shared once time: 0.31899499893188477s,token_num:4297, throughput: 0.38622418662528235 GB/s
shared once time: 0.22657108306884766s,token_num:2926, throughput: 0.37027793160395156 GB/s
shared once time: 0.3036623001098633s,token_num:3590, throughput: 0.33897023095313317 GB/s
shared once time: 0.3234999179840088s,token_num:4502, throughput: 0.3990150748859872 GB/s
shared once time: 0.32933735847473145s,token_num:4596, throughput: 0.4001262189333756 GB/s
shared once time: 0.24790573120117188s,token_num:3387, throughput: 0.3917298060414544 GB/s
shared once time: 0.2638990879058838s,token_num:3225, throughput: 0.3503884789210686 GB/s
shared once time: 0.2932713031768799s,token_num:3917, throughput: 0.3829499265131436 GB/s
shared once time: 0.4188203811645508s,token_num:4067, throughput: 0.2784225153412135 GB/s
shared once time: 0.282562255859375s,token_num:4133, throughput: 0.4193814762682795 GB/s
shared once time: 0.26702380180358887s,token_num:3848, throughput: 0.41318360106772 GB/s
shared once time: 0.2260434627532959s,token_num:3407, throughput: 0.4321536345716579 GB/s
shared once time: 0.271226167678833s,token_num:3927, throughput: 0.41513304178425375 GB/s
shared once time: 0.29000234603881836s,token_num:4142, throughput: 0.40951194230719573 GB/s
shared once time: 0.31804800033569336s,token_num:4239, throughput: 0.38214548707024193 GB/s
shared once time: 0.2849893569946289s,token_num:4221, throughput: 0.42466326909983837 GB/s
shared once time: 0.28450536727905273s,token_num:4183, throughput: 0.42155611033644796 GB/s
shared once time: 0.30867838859558105s,token_num:4088, throughput: 0.3797192817199965 GB/s
shared once time: 0.3734395503997803s,token_num:3540, throughput: 0.2717946716981151 GB/s
shared once time: 0.2962627410888672s,token_num:4070, throughput: 0.39389036762134083 GB/s
shared once time: 0.23909306526184082s,token_num:3533, throughput: 0.42367676322633674 GB/s
shared once time: 0.26935577392578125s,token_num:3228, throughput: 0.3436095490030307 GB/s
shared once time: 0.2835359573364258s,token_num:3683, throughput: 0.37243592309071033 GB/s
shared once time: 0.3341686725616455s,token_num:3932, throughput: 0.33736945817146485 GB/s
shared once time: 0.27307796478271484s,token_num:4085, throughput: 0.42890725398951607 GB/s
shared once time: 0.28342270851135254s,token_num:4222, throughput: 0.42711180284677575 GB/s
shared once time: 0.2689554691314697s,token_num:3681, throughput: 0.392413035291019 GB/s
shared once time: 0.2862100601196289s,token_num:4011, throughput: 0.40181463905193043 GB/s
shared once time: 0.3419225215911865s,token_num:3327, throughput: 0.2789864310665485 GB/s
shared once time: 0.26517653465270996s,token_num:4499, throughput: 0.4864507644650365 GB/s
shared once time: 0.1953749656677246s,token_num:3226, throughput: 0.473427451075325 GB/s
shared once time: 0.2987337112426758s,token_num:3805, throughput: 0.3651980204918195 GB/s
shared once time: 0.2986137866973877s,token_num:3644, throughput: 0.3498859485207888 GB/s
shared once time: 0.31564927101135254s,token_num:4103, throughput: 0.3726959850820278 GB/s
shared once time: 0.33573246002197266s,token_num:4447, throughput: 0.3797797329208359 GB/s
shared once time: 0.2439718246459961s,token_num:3865, throughput: 0.4542216305542504 GB/s
shared once time: 0.22121572494506836s,token_num:3467, throughput: 0.44936147294539824 GB/s
shared once time: 0.24610590934753418s,token_num:4120, throughput: 0.47999107503423133 GB/s
shared once time: 0.3776357173919678s,token_num:3589, throughput: 0.27249490252319214 GB/s
shared once time: 0.3640754222869873s,token_num:4680, throughput: 0.36856363210979654 GB/s
shared once time: 0.2460012435913086s,token_num:3713, throughput: 0.4327585277449438 GB/s
shared once time: 0.23958063125610352s,token_num:3810, throughput: 0.45596473899939693 GB/s
shared once time: 0.2723209857940674s,token_num:3566, throughput: 0.37545528010580315 GB/s
shared once time: 0.21610379219055176s,token_num:3667, throughput: 0.48652651086886767 GB/s
shared once time: 0.2690112590789795s,token_num:3813, throughput: 0.4064005959241382 GB/s
shared once time: 0.285250186920166s,token_num:3939, throughput: 0.3959296546634995 GB/s
shared once time: 0.3137831687927246s,token_num:3843, throughput: 0.3511548959873809 GB/s
shared once time: 0.3580293655395508s,token_num:4851, throughput: 0.3884817430838232 GB/s
shared once time: 0.35186076164245605s,token_num:3591, throughput: 0.2926190221364443 GB/s
shared once time: 0.20070552825927734s,token_num:3468, throughput: 0.49542479901972397 GB/s
shared once time: 0.26848268508911133s,token_num:3322, throughput: 0.3547654626904017 GB/s
shared once time: 0.28914785385131836s,token_num:4295, throughput: 0.425893667754223 GB/s
shared once time: 0.271594762802124s,token_num:3572, throughput: 0.3770926322118279 GB/s
shared once time: 0.279949426651001s,token_num:3743, throughput: 0.3833524407742032 GB/s
shared once time: 0.2615947723388672s,token_num:3388, throughput: 0.37134050933619145 GB/s
shared once time: 0.2851979732513428s,token_num:3921, throughput: 0.3941925348148339 GB/s
shared once time: 0.313610315322876s,token_num:3820, throughput: 0.3492456550328613 GB/s
shared once time: 0.30948805809020996s,token_num:3777, throughput: 0.34991380497283775 GB/s
shared once time: 0.33280372619628906s,token_num:3696, throughput: 0.318421050182285 GB/s
shared once time: 0.20018291473388672s,token_num:3818, throughput: 0.5468483469007512 GB/s
shared once time: 0.2387387752532959s,token_num:3180, throughput: 0.3819109815875679 GB/s
shared once time: 0.3330214023590088s,token_num:4419, throughput: 0.38046073646465295 GB/s
shared once time: 0.24099135398864746s,token_num:3676, throughput: 0.4373529184991635 GB/s
